Head_px,Head_py,Head_pz,Head_rw,Head_rx,Head_ry,Head_rz,Hips_px,Hips_py,Hips_pz,Hips_rw,Hips_rx,Hips_ry,Hips_rz,LeftHand_px,LeftHand_py,LeftHand_pz,LeftHand_rw,LeftHand_rx,LeftHand_ry,LeftHand_rz,RightHand_px,RightHand_py,RightHand_pz,RightHand_rw,RightHand_rx,RightHand_ry,RightHand_rz,LeftToes_px,LeftToes_py,LeftToes_pz,LeftToes_rw,LeftToes_rx,LeftToes_ry,LeftToes_rz,RightToes_px,RightToes_py,RightToes_pz,RightToes_rw,RightToes_rx,RightToes_ry,RightToes_rz
-0.3962588,1.6355770,-0.6209492,0.9922214,0.0407173,0.0257122,-0.1147957,-0.3121600,1.0447600,-0.6768400,0.9942620,0.0346201,-0.0660201,0.0767202,-0.6291237,0.9725107,-0.4889582,0.8159631,-0.1617117,0.3739820,0.4101112,-0.1032651,1.0422520,-0.5230315,0.7825214,-0.2015237,-0.3084908,-0.5018783,-0.3724632,0.0108782,-0.6609588,0.9558221,0.0183918,-0.2927509,-0.0190562,0.1115794,0.0191346,-0.6413834,0.9827130,0.0819965,0.1547722,0.0599775
-0.3956598,1.6342430,-0.6214998,0.9932030,0.0483655,0.0248960,-0.1029023,-0.3080800,1.0437600,-0.6757000,0.9949436,0.0327801,-0.0561502,0.0765503,-0.6160184,0.9440382,-0.5345818,0.8375294,-0.0961901,0.3248993,0.4286407,-0.1038808,1.0652400,-0.4932052,0.7712965,-0.2098505,-0.3384344,-0.4965147,-0.3729336,0.0108181,-0.6604863,0.9558218,0.0180593,-0.2927767,-0.0189854,0.1102123,0.0193899,-0.6405618,0.9812652,0.0885722,0.1621324,0.0546527
-0.3932864,1.6339410,-0.6226957,0.9934103,0.0481427,0.0272391,-0.1003814,-0.3024100,1.0433900,-0.6740300,0.9953806,0.0325700,-0.0489001,0.0759301,-0.6024518,0.9227188,-0.5853520,0.8457852,-0.0258094,0.3039686,0.4377040,-0.0953871,1.0818560,-0.4700186,0.7583464,-0.2164146,-0.3700487,-0.4910595,-0.3731769,0.0108157,-0.6603032,0.9558305,0.0182220,-0.2927349,-0.0190419,0.1088834,0.0196067,-0.6399501,0.9766862,0.0963365,0.1813803,0.0624876
-0.3898718,1.6343020,-0.6226589,0.9931369,0.0484392,0.0324551,-0.1013888,-0.2976400,1.0438100,-0.6730100,0.9955569,0.0334599,-0.0450399,0.0756198,-0.5926256,0.9127250,-0.6235998,0.8477977,0.0236066,0.2981535,0.4379340,-0.0909013,1.0918460,-0.4580455,0.7514718,-0.2192633,-0.3858441,-0.4881991,-0.3731094,0.0108254,-0.6604326,0.9557366,0.0184271,-0.2930101,-0.0193177,0.1084046,0.0193203,-0.6401312,0.9728266,0.0980542,0.1966102,0.0730655
-0.3898718,1.6343020,-0.6226589,0.9931369,0.0484392,0.0324551,-0.1013888,-0.2976400,1.0438100,-0.6730100,0.9955569,0.0334599,-0.0450399,0.0756198,-0.5926256,0.9127250,-0.6235998,0.8477977,0.0236066,0.2981535,0.4379340,-0.0909013,1.0918460,-0.4580455,0.7514718,-0.2192633,-0.3858441,-0.4881991,-0.3731094,0.0108254,-0.6604326,0.9557366,0.0184271,-0.2930101,-0.0193177,0.1084046,0.0193203,-0.6401312,0.9728266,0.0980542,0.1966102,0.0730655
-0.3845427,1.6354340,-0.6213062,0.9931305,0.0486779,0.0344475,-0.1006787,-0.2910700,1.0450600,-0.6727300,0.9956073,0.0359799,-0.0432499,0.0748398,-0.5754690,0.9058285,-0.6742337,0.8492919,0.0727266,0.2851498,0.4382966,-0.0844401,1.1056460,-0.4404110,0.7436730,-0.2215703,-0.4072644,-0.4816566,-0.3730905,0.0108285,-0.6610570,0.9555048,0.0189715,-0.2936752,-0.0201379,0.1085743,0.0191406,-0.6410866,0.9684419,0.0999004,0.2103719,0.0887921
-0.3763174,1.6371980,-0.6191226,0.9929990,0.0523103,0.0355027,-0.0997816,-0.2844300,1.0468000,-0.6729900,0.9956728,0.0385201,-0.0445401,0.0718902,-0.5564568,0.9060084,-0.7220063,0.8469738,0.1095364,0.2684464,0.4456168,-0.0759895,1.1173500,-0.4261686,0.7387811,-0.2238744,-0.4222522,-0.4751695,-0.3733619,0.0110358,-0.6618098,0.9554661,0.0210433,-0.2936247,-0.0206541,0.1082227,0.0186392,-0.6421807,0.9649683,0.0984932,0.2235520,0.0957074
-0.3675815,1.6390780,-0.6181790,0.9929915,0.0537833,0.0329516,-0.0999490,-0.2762400,1.0487900,-0.6728000,0.9954132,0.0389901,-0.0518402,0.0703202,-0.5371797,0.9101757,-0.7671025,0.8439235,0.1344043,0.2483740,0.4561134,-0.0677604,1.1266570,-0.4131166,0.7347348,-0.2247744,-0.4366643,-0.4679376,-0.3732457,0.0108823,-0.6623105,0.9556313,0.0210646,-0.2930245,-0.0214956,0.1085978,0.0193518,-0.6420971,0.9627135,0.1038743,0.2267766,0.1047161
-0.3572682,1.6410210,-0.6171261,0.9933604,0.0533387,0.0269208,-0.0983143,-0.2679200,1.0502200,-0.6733800,0.9951248,0.0422702,-0.0601503,0.0657403,-0.5148143,0.9154730,-0.8018791,0.8469443,0.1450395,0.2276796,0.4580514,-0.0588502,1.1355560,-0.3960098,0.7320935,-0.2215767,-0.4525070,-0.4584547,-0.3736141,0.0109251,-0.6632187,0.9549816,0.0221676,-0.2950329,-0.0217926,0.1093307,0.0184974,-0.6416959,0.9646474,0.0952409,0.2199609,0.1095531
-0.3478133,1.6418900,-0.6159853,0.9933846,0.0557709,0.0236350,-0.0975607,-0.2604200,1.0509200,-0.6739900,0.9948093,0.0445800,-0.0673100,0.0619400,-0.4995002,0.9206063,-0.8250669,0.8531289,0.1503631,0.2131176,0.4518220,-0.0514869,1.1392490,-0.3859223,0.7309600,-0.2178435,-0.4597282,-0.4548537,-0.3738635,0.0108970,-0.6638138,0.9551151,0.0220899,-0.2946509,-0.0211703,0.1105548,0.0181873,-0.6399881,0.9678288,0.0862669,0.2082566,0.1117796
